step,timestamp,u0,u1,u2,u3,pose_x,pose_y,pose_z,pose_qw,pose_qx,pose_qy,pose_qz
0,1761786470.1599715,-0.3355696201324463,-0.538089394569397,-1.0680046081542969,0.453637957572937,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
1,1761786470.164201,0.04147510603070259,-0.21896709501743317,-0.7361836433410645,0.3235324025154114,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
2,1761786470.1700864,-0.15324877202510834,-0.31944891810417175,-0.7579748630523682,0.4387992322444916,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
3,1761786470.1918557,-0.09124867618083954,-0.2563959062099457,-0.7812180519104004,0.3919520080089569,-0.0,-0.0,0.1,1.0,-0.0,0.0,-0.0
4,1761786470.2117107,0.007544532418251038,-0.047003503888845444,-0.7972922921180725,0.25804921984672546,-0.0,-0.0,0.1,1.0,-0.001,0.0,-0.004
5,1761786470.2311628,-0.30888256430625916,-0.25882479548454285,-0.7328139543533325,0.5139902234077454,-0.0,-0.001,0.1,1.0,0.0,-0.0,-0.006
6,1761786470.2510982,0.3531144857406616,-0.17084552347660065,-0.7838312387466431,0.29136887192726135,-0.0,-0.001,0.1,1.0,-0.0,-0.0,-0.009
7,1761786470.2692893,-0.2421254962682724,-0.2795986831188202,-0.6806629300117493,0.5071078538894653,-0.0,-0.001,0.1,1.0,0.0,-0.0,-0.012
8,1761786470.2905135,0.2827077805995941,-0.14990809559822083,-0.8039692044258118,0.3325592875480652,-0.0,-0.001,0.1,1.0,-0.001,0.0,-0.015
9,1761786470.313845,-0.014642689377069473,-0.2283417135477066,-0.6588624715805054,0.48569729924201965,-0.001,-0.001,0.1,1.0,-0.002,-0.0,-0.019
10,1761786470.3316467,-0.013297658413648605,-0.19785843789577484,-0.7858777046203613,0.42727452516555786,-0.001,-0.002,0.1,1.0,0.001,-0.0,-0.021
11,1761786470.3532023,0.1413077861070633,-0.3064568340778351,-0.7195723652839661,0.3466702997684479,-0.001,-0.002,0.1,1.0,-0.0,0.0,-0.027
12,1761786470.3702397,0.2135104387998581,-0.2372482568025589,-0.7203248739242554,0.40508583188056946,-0.0,-0.003,0.1,1.0,-0.0,0.0,-0.031
13,1761786470.3934386,0.21932969987392426,-0.22381529211997986,-0.6871358752250671,0.4539965093135834,-0.0,-0.003,0.1,0.999,0.0,0.0,-0.032
14,1761786470.4100199,0.202852264046669,-0.21836771070957184,-0.7070742249488831,0.42598089575767517,-0.0,-0.003,0.1,0.999,0.0,0.0,-0.033
15,1761786470.4305038,0.2285936325788498,-0.21895232796669006,-0.7046558856964111,0.40808698534965515,-0.0,-0.003,0.1,0.999,0.0,0.0,-0.036
16,1761786470.4502742,0.25893890857696533,-0.21265514194965363,-0.6927974820137024,0.43057045340538025,-0.0,-0.004,0.1,0.999,0.0,0.0,-0.039
17,1761786470.4720032,0.2894986569881439,-0.21451927721500397,-0.6801745891571045,0.4567742347717285,-0.0,-0.004,0.1,0.999,-0.0,0.0,-0.041
18,1761786470.4917827,0.25845298171043396,-0.2134971022605896,-0.7096425294876099,0.38334718346595764,0.0,-0.004,0.1,0.999,-0.0,0.0,-0.044
19,1761786470.513797,0.308469295501709,-0.21265214681625366,-0.673702597618103,0.4518260955810547,0.0,-0.004,0.1,0.999,0.0,0.0,-0.046
20,1761786470.534892,0.3069623112678528,-0.2138264775276184,-0.6964683532714844,0.42054426670074463,0.0,-0.005,0.1,0.999,0.0,0.0,-0.048
21,1761786470.5534832,0.3130115270614624,-0.21384888887405396,-0.6771339178085327,0.44086185097694397,0.0,-0.005,0.1,0.999,0.001,-0.0,-0.05
22,1761786470.572549,0.29818904399871826,-0.20623070001602173,-0.6984157562255859,0.43500834703445435,0.0,-0.006,0.1,0.999,0.001,-0.0,-0.055
23,1761786470.5936167,0.23035165667533875,-0.19923952221870422,-0.7535576224327087,0.29378530383110046,0.001,-0.007,0.1,0.998,0.002,-0.0,-0.061
24,1761786470.610325,0.3065255284309387,-0.1890212893486023,-0.6963378190994263,0.43345847725868225,0.001,-0.007,0.1,0.998,0.003,-0.0,-0.065
25,1761786470.6322021,0.4017685055732727,-0.23300908505916595,-0.7056209444999695,0.4170268476009369,0.001,-0.008,0.1,0.998,0.004,-0.0,-0.066
