step,timestamp,u0,u1,u2,u3,u0_rate,u1_rate,u2_rate,u3_rate,pose_x,pose_y,pose_z,pose_qw,pose_qx,pose_qy,pose_qz,pose_vx,pose_vy,pose_vz,pose_avx,pose_avy,pose_avz,traj_x_ref,traj_y_ref,traj_z_ref,traj_qw_ref,traj_qx_ref,traj_qy_ref,traj_qz_ref,est_param_thrust_ratio,est_param_drag_coeff_z,est_param_tau_rate,est_param_centre_rate_deg,est_param_max_rate_deg,est_param_rate_expo,MPC_setup_time,MPC_solve_time,Visualisation_time,UKF_update_time
0,1761739652.31999,0.0,0.0,0.049999998926608,-0.004148108137719206,0.0,0.0,0.49999998926608,-0.04148108137719206,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,42.0,0.5,0.12,100.0,100.0,0.0,0.0062,0.0042,0.0084,0.0
0,1761739652.3435385,0.0,0.0,0.09949999859359474,-0.0022520529447176843,0.0,0.0,0.49999999656252825,0.018545741116243297,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,42.0,0.5,0.12,100.0,100.0,0.0,0.0024,0.0023,0.005,0.0
0,1761739652.376769,0.0,0.0,0.1485049944256525,-0.0010607547346971958,0.0,0.0,0.49999995817993703,0.011687776805733116,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,42.0,0.5,0.12,100.0,100.0,0.0,0.0027,0.0022,0.0049,0.0
0,1761739652.417079,0.0,0.0,0.19701972613807478,-0.00035331926854715234,0.0,0.0,0.49999781656678827,0.006968279188030713,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,42.0,0.5,0.12,100.0,100.0,0.0,0.0079,0.0031,0.0052,0.0
0,1761739652.4467368,0.0,0.0,0.24292531580643412,5.636030514135059e-05,0.0,0.0,0.4787578692974011,0.004061463810030314,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,42.0,0.5,0.12,100.0,100.0,0.0,0.004,0.0026,0.0052,0.0
0,1761739652.4824188,0.0,0.0,0.2655625676545874,0.0002825866353644177,0.0,0.0,0.25066505006217626,0.002267899332744806,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,42.0,0.5,0.12,100.0,100.0,0.0,0.0041,0.0036,0.0073,0.0
0,1761739652.5207694,0.0,0.0,0.2753894878301659,0.00040116846212000126,0.0,0.0,0.12482545852124388,0.0012140769310922776,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,42.0,0.5,0.12,100.0,100.0,0.0,0.0107,0.0033,0.0061,0.0
0,1761739652.5591562,0.0,0.0,0.26709521238803835,0.00030107667253297446,0.0,0.0,-0.0554038056382588,-0.0009608010496582688,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,42.0,0.5,0.12,100.0,100.0,0.0,0.0118,0.0045,0.0074,0.0
0,1761739652.5753653,0.0,0.0,0.2532146536195522,0.00017049772478868025,0.0,0.0,-0.11209606644605717,-0.0012756818101896453,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,42.0,0.5,0.12,100.0,100.0,0.0,0.0034,0.0017,0.0031,0.0
0,1761739652.6093495,0.0,0.0,0.2403472387088451,6.280965399222736e-05,0.0,0.0,-0.10335268374511497,-0.0010598309354856613,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,42.0,0.5,0.12,100.0,100.0,0.0,0.0037,0.002,0.0033,0.0
