step,timestamp,u0,u1,u2,u3,pose_x,pose_y,pose_z,pose_qw,pose_qx,pose_qy,pose_qz
0,1761789710.2952306,-0.3355696201324463,-0.538089394569397,-1.0680046081542969,0.453637957572937,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
0,1761789719.5960436,0.32172685861587524,-0.19383856654167175,-0.7664334774017334,0.3074951767921448,-0.0,-0.003,0.1,1.0,-0.0,0.0,-0.031
1,1761789719.6154392,0.32660984992980957,0.02190740779042244,-0.7919144034385681,0.3763534426689148,-0.0,-0.003,0.1,1.0,-0.0,-0.0,-0.031
2,1761789719.6371005,0.4313129484653473,-0.1368429958820343,-1.0915316343307495,-1.1681487560272217,-0.001,-0.003,0.134,0.999,-0.005,-0.025,-0.04
3,1761789719.6555924,0.4469594657421112,-0.06853675842285156,-1.084426999092102,-1.103793740272522,-0.003,-0.002,0.196,0.998,-0.001,-0.025,-0.056
4,1761789719.6756744,-0.16392718255519867,-0.36385029554367065,-1.1749544143676758,-1.3033971786499023,-0.007,-0.001,0.305,0.998,-0.017,-0.048,-0.024
5,1761789719.6954505,0.25694459676742554,-0.10700638592243195,-1.11819326877594,-1.3676283359527588,-0.016,0.001,0.439,0.997,-0.019,-0.07,-0.012
6,1761789719.7164485,-0.28262752294540405,-0.6173686385154724,-1.1903679370880127,-1.242470383644104,-0.028,0.004,0.599,0.996,-0.025,-0.088,-0.017
7,1761789719.7418227,-0.3708887994289398,-0.7177047729492188,-1.1922225952148438,-1.229738712310791,-0.046,0.009,0.789,0.994,-0.031,-0.105,0.005
8,1761789719.7557657,-0.9128919839859009,-1.353011131286621,-1.263843297958374,-0.7384811639785767,-0.056,0.012,0.881,0.993,-0.035,-0.112,-0.0
9,1761789719.775619,-1.2408875226974487,-1.7626800537109375,-1.2965736389160156,-0.5490155220031738,-0.087,0.021,1.143,0.99,-0.053,-0.132,0.026
10,1761789719.7961793,-1.7639890909194946,-2.3942244052886963,-1.35622239112854,-0.4298318028450012,-0.12,0.03,1.411,0.982,-0.08,-0.153,0.072
11,1761789719.8147743,-2.0980145931243896,-2.588055372238159,-1.3768876791000366,-0.3003779351711273,-0.157,0.041,1.702,0.979,-0.091,-0.167,0.076
12,1761789719.8353508,-1.9288249015808105,-2.5408005714416504,-1.362766981124878,-0.3712811768054962,-0.188,0.05,1.94,0.975,-0.103,-0.181,0.078
13,1761789719.8546102,-2.0808870792388916,-2.622178077697754,-1.3790793418884277,-0.34135714173316956,-0.219,0.06,2.175,0.97,-0.116,-0.196,0.08
14,1761789719.8752718,-2.183971881866455,-2.7135627269744873,-1.3899633884429932,-0.3365435004234314,-0.25,0.069,2.406,0.965,-0.131,-0.212,0.083
15,1761789719.8981104,-2.6228573322296143,-2.820916175842285,-1.431262493133545,-0.21509893238544464,-0.279,0.078,2.611,0.96,-0.143,-0.226,0.084
16,1761789719.9166303,-2.5166165828704834,-3.017688512802124,-1.4237756729125977,-0.30849578976631165,-0.31,0.087,2.835,0.953,-0.158,-0.242,0.087
17,1761789719.9369617,-2.889465570449829,-3.2817342281341553,-1.4583611488342285,-0.23756855726242065,-0.342,0.097,3.056,0.947,-0.172,-0.258,0.088
18,1761789719.958526,-3.018702745437622,-3.555880069732666,-1.4713215827941895,-0.2553388476371765,-0.374,0.106,3.272,0.939,-0.187,-0.274,0.09
19,1761789719.977322,-3.1446855068206787,-3.751918315887451,-1.4841104745864868,-0.25972652435302734,-0.4,0.114,3.443,0.932,-0.199,-0.288,0.091
20,1761789719.9970748,-3.3274621963500977,-4.051239013671875,-1.5051369667053223,-0.2648623287677765,-0.436,0.125,3.675,0.923,-0.215,-0.307,0.092
21,1761789720.0153837,-3.408393621444702,-4.145842552185059,-1.5111591815948486,-0.2512679398059845,-0.468,0.135,3.881,0.914,-0.229,-0.322,0.092
22,1761789720.0367162,-3.4998133182525635,-4.228489398956299,-1.519700050354004,-0.23686803877353668,-0.498,0.144,4.064,0.905,-0.242,-0.337,0.092
23,1761789720.055613,-3.620635986328125,-4.343850135803223,-1.5331814289093018,-0.2221555858850479,-0.531,0.155,4.263,0.896,-0.255,-0.353,0.092
24,1761789720.075306,-3.668696403503418,-4.390192985534668,-1.539930820465088,-0.22554834187030792,-0.558,0.163,4.42,0.887,-0.267,-0.365,0.092
25,1761789720.0990043,-3.7040538787841797,-4.450082778930664,-1.5461595058441162,-0.23851458728313446,-0.591,0.174,4.613,0.876,-0.281,-0.382,0.093
26,1761789720.1166205,-3.724979877471924,-4.494887828826904,-1.549851655960083,-0.24534191191196442,-0.618,0.182,4.764,0.866,-0.293,-0.396,0.092
27,1761789720.1360939,-3.7939577102661133,-4.468008995056152,-1.5568184852600098,-0.23352937400341034,-0.663,0.197,5.006,0.85,-0.31,-0.417,0.09
28,1761789720.157834,-3.7758865356445312,-4.476213455200195,-1.5568206310272217,-0.24116148054599762,-0.698,0.208,5.187,0.842,-0.317,-0.428,0.087
29,1761789720.1781821,-3.8073441982269287,-4.499421119689941,-1.5609266757965088,-0.23838232457637787,-0.719,0.215,5.294,0.836,-0.323,-0.435,0.086
30,1761789720.1989098,-3.791706085205078,-4.501878261566162,-1.560105800628662,-0.24267016351222992,-0.762,0.229,5.505,0.823,-0.336,-0.45,0.086
31,1761789720.2160664,-3.7752885818481445,-4.520643711090088,-1.5576214790344238,-0.24534748494625092,-0.794,0.24,5.659,0.812,-0.347,-0.462,0.086
32,1761789720.2368793,-3.7834527492523193,-4.50903844833374,-1.5584352016448975,-0.2432047426700592,-0.827,0.251,5.81,0.8,-0.358,-0.474,0.085
33,1761789720.259365,-3.8123371601104736,-4.504844665527344,-1.5627230405807495,-0.2392953783273697,-0.867,0.265,5.991,0.785,-0.371,-0.488,0.085
34,1761789720.278077,-3.7425951957702637,-4.206561088562012,-1.5467736721038818,-0.13842709362506866,-0.893,0.273,6.103,0.774,-0.381,-0.499,0.084
35,1761789720.2951703,-3.776127815246582,-4.508901119232178,-1.5576388835906982,-0.24498628079891205,-0.945,0.291,6.322,0.748,-0.401,-0.522,0.084
