step,timestamp,u0,u1,u2,u3,u0_rate,u1_rate,u2_rate,u3_rate,pose_x,pose_y,pose_z,pose_qw,pose_qx,pose_qy,pose_qz,pose_vx,pose_vy,pose_vz,pose_avx,pose_avy,pose_avz,traj_x_ref,traj_y_ref,traj_z_ref,traj_qw_ref,traj_qx_ref,traj_qy_ref,traj_qz_ref,est_param_thrust_ratio,est_param_drag_coeff_z,est_param_tau_rate,est_param_centre_rate_deg,est_param_max_rate_deg,est_param_rate_expo,MPC_setup_time,MPC_solve_time,Visualisation_time,UKF_update_time
0,1761630842.4662936,0.00016520204901060385,2.146432737539308e-05,0.05000000007509209,-0.006683708227023741,0.0016520204901060384,0.0002146432737539308,0.5000000007509209,-0.06683708227023741,-0.029,-0.032,-0.0,0.999,-0.003,0.001,-0.037,0.001,0.009,0.005,-0.032,0.005,-0.002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.25,0.12,50.0,300.0,0.0,0.0049,0.0061,0.0045,0.0
0,1761630842.4886703,-0.024435332080392735,0.023408191016321744,0.09499999583874846,-0.0403876903341965,-0.24584013924502277,0.2338887312168389,0.4999999577116558,-0.3437235292987513,-0.031,-0.034,-0.001,0.999,-0.002,0.001,-0.037,-0.044,-0.049,-0.004,0.012,-0.005,0.017,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.25,0.12,50.0,300.0,0.0,0.002,0.0011,0.0017,0.0
0,1761630842.529143,0.014011530168879686,-0.007486528007765354,0.1354999946825669,-0.06348664221889294,0.36003329041233145,-0.28553899922454923,0.49999998427693293,-0.2713772091811608,-0.029,-0.032,-0.0,0.999,-0.002,0.001,-0.037,0.044,0.051,0.007,0.0,0.002,-0.021,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.25,0.12,50.0,300.0,0.0,0.0059,0.0022,0.0036,0.0
0,1761630842.5593944,-0.001373121168851455,0.007576525522563004,0.17194999124204385,-0.07551064773166771,-0.13983498320843168,0.1431440072955182,0.4999999602773365,-0.1837266973466408,-0.03,-0.033,-0.001,0.999,-0.003,0.001,-0.037,-0.012,-0.019,-0.01,-0.013,0.001,0.007,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.25,0.12,50.0,300.0,0.0,0.0047,0.0022,0.0019,0.0
0,1761630842.5978932,-0.0202551297656505,0.04142852467582778,0.20475499145624987,-0.08144003514711186,-0.1901932071368419,0.34609651705521066,0.4999999933841039,-0.13480452188610897,-0.033,-0.034,0.002,0.999,-0.002,0.001,-0.037,-0.096,-0.045,0.091,0.018,0.038,0.014,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.25,0.12,50.0,300.0,0.0,0.0025,0.0042,0.0072,0.0
0,1761630842.621189,0.013663144112677997,-0.009177573926045166,0.23427948364576703,-0.08457845799843479,0.3189276090176344,-0.4646324613429016,0.49999991335142174,-0.1128242636603412,-0.03,-0.032,-0.0,0.999,-0.002,0.001,-0.037,0.095,0.048,-0.079,-0.011,-0.04,-0.021,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.25,0.12,50.0,300.0,0.0,0.0014,0.0009,0.0016,0.0
0,1761630842.6654558,0.025952110977205217,-0.03296848078441074,0.26085153512043036,-0.08547489317859575,0.13655281275795023,-0.24708664250970092,0.4999999983924005,-0.09354280980004427,-0.03,-0.032,-0.0,0.999,-0.002,0.001,-0.037,0.095,0.048,-0.079,-0.011,-0.04,-0.021,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.25,0.12,50.0,300.0,0.0,0.0063,0.0011,0.007,0.0
0,1761630842.6911833,0.01912221488595045,0.005445325052231081,0.28476637541762895,-0.08513643304206285,-0.04234684993534246,0.3511695775820074,0.4999999380924165,-0.08209029181326685,-0.031,-0.031,-0.001,0.999,-0.002,0.001,-0.037,-0.037,0.028,-0.007,-0.001,0.002,-0.003,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.25,0.12,50.0,300.0,0.0,0.0044,0.0009,0.0018,0.0
0,1761630842.7211578,0.007475791075543817,0.02022378553623989,0.30628973786531316,-0.08462564180131699,-0.09734202321811591,0.1532299298923192,0.49999999989447125,-0.08002852063460415,-0.032,-0.033,-0.0,0.999,-0.002,0.001,-0.037,-0.027,0.012,-0.001,0.005,-0.007,-0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.25,0.12,50.0,300.0,0.0,0.0014,0.0009,0.0017,0.0
0,1761630842.7547255,0.013176387525704958,0.009220497997805714,0.32566076306983577,-0.08406047032979695,0.06448175557715521,-0.08980908984810188,0.4999999899105389,-0.07897392708611656,-0.031,-0.032,0.002,0.999,-0.002,0.001,-0.037,0.008,0.031,0.067,0.003,0.015,-0.008,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.25,0.12,50.0,300.0,0.0,0.0014,0.0009,0.0018,0.0
0,1761630842.7877834,0.00723316146900993,-0.004532984414045437,0.3430946838293858,-0.08359932777400256,-0.046255873041245316,-0.12831432612070579,0.4999999706653363,-0.07944904477185316,-0.03,-0.032,-0.001,0.999,-0.002,0.0,-0.037,0.046,0.011,-0.083,0.008,-0.037,-0.002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.25,0.12,50.0,300.0,0.0,0.0014,0.001,0.0018,0.0
0,1761630842.8252733,0.004510783106261738,-0.008005414951873163,0.35878513309233884,-0.0833696931366063,-0.019990622158472,-0.03925728979232271,0.49999917645891545,-0.08130298140004014,-0.03,-0.032,-0.001,0.999,-0.002,0.0,-0.037,0.046,0.011,-0.083,0.008,-0.037,-0.002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.25,0.12,50.0,300.0,0.0,0.0044,0.0009,0.0024,0.0
0,1761630842.8674715,0.007359017922661009,-0.007631121290735605,0.37290441675966046,-0.0832818874380613,0.03299313127025446,-0.004262478340497587,0.4999779697655545,-0.08249163615115593,-0.029,-0.031,-0.0,0.999,-0.002,0.001,-0.037,0.02,0.018,0.006,0.008,0.005,-0.002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.25,0.12,50.0,300.0,0.0,0.0058,0.0032,0.008,0.0
0,1761630842.8920522,-0.010016683540300633,0.009992261220592978,0.3854257676136173,-0.08315059863858594,-0.16639799670695538,0.16860270382255022,0.49811792529922844,-0.0819689994433076,-0.03,-0.032,-0.0,0.999,-0.002,0.001,-0.037,-0.017,-0.026,-0.004,-0.014,-0.012,0.006,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.25,0.12,50.0,300.0,0.0,0.0032,0.0012,0.0037,0.0
0,1761630842.9241073,-0.016306521104991492,0.017133965081431397,0.390791180165881,-0.08308997881721547,-0.07291505918720922,0.08140929982897717,0.4390798931362544,-0.08254440042488126,-0.03,-0.032,-0.0,0.999,-0.002,0.001,-0.037,-0.017,-0.026,-0.004,-0.014,-0.012,0.006,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.25,0.12,50.0,300.0,0.0,0.0031,0.0012,0.0023,0.0
0,1761630842.9609873,-0.0008885159655742849,0.012369269072862371,0.3900643052363228,-0.08325509447650195,0.13787353028918056,-0.030512995004258872,0.38352243087029914,-0.0847411354100804,-0.03,-0.032,-0.0,0.999,-0.002,0.001,-0.037,-0.004,0.011,0.003,-0.005,0.008,-0.008,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.25,0.12,50.0,300.0,0.0,0.0015,0.0011,0.0079,0.0
0,1761630842.993109,0.015885441895165525,0.0034261025004088848,0.38722790816477526,-0.08328547084502427,0.1668510626418238,-0.07706239665167247,0.36170033452084693,-0.08355885816172512,-0.03,-0.031,-0.0,0.999,-0.002,0.001,-0.037,0.012,0.033,0.007,0.007,-0.0,-0.003,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.25,0.12,50.0,300.0,0.0,0.0042,0.0013,0.0036,0.0
0,1761630843.0363984,0.021810868212597704,-0.0003031017034563102,0.38428680882995936,-0.0833199320360068,0.07513970506948732,-0.03386593953824305,0.3578169148166159,-0.08363008275484954,-0.03,-0.031,-0.0,0.999,-0.002,0.001,-0.037,0.012,0.033,0.007,0.007,-0.0,-0.003,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.25,0.12,50.0,300.0,0.0,0.0117,0.0029,0.0041,0.0
0,1761630843.071045,-0.00025036388930466114,0.0035498207964519144,0.3828239626485245,-0.08323007797743827,-0.19880145280642592,0.03822612329562593,0.36965834701561057,-0.08242139145032144,-0.03,-0.032,-0.001,0.999,-0.002,0.001,-0.037,0.0,-0.017,-0.011,0.006,-0.007,0.005,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.25,0.12,50.0,300.0,0.0,0.0064,0.0052,0.0087,0.0
0,1761630843.095491,-0.0019075309300105713,0.011343209594931868,0.38065787061828504,-0.08332750990725347,-0.01682203429636378,0.08148370878125145,0.3611630423461296,-0.0842043972755904,-0.03,-0.032,-0.0,0.999,-0.002,0.001,-0.037,-0.016,-0.005,0.015,-0.02,0.009,-0.006,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.25,0.12,50.0,300.0,0.0,0.0045,0.0026,0.0044,0.0
0,1761630843.1218555,0.008789638894530195,0.0004662171380604291,0.380417463299717,-0.08436923366109006,0.1050641673153971,-0.09742671497378252,0.378253797432604,-0.09374474744561936,-0.03,-0.031,-0.0,0.999,-0.002,0.001,-0.038,0.018,0.025,0.001,0.024,-0.005,-0.004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.25,0.12,50.0,300.0,0.0,0.0016,0.0008,0.0022,0.0
0,1761630843.1545594,-0.010151250960415286,0.006334374067737749,0.3807278546318904,-0.08377127288321476,-0.18061925965492462,0.05914778643483361,0.3835213766214515,-0.07838962588233712,-0.03,-0.032,-0.0,0.999,-0.002,0.001,-0.037,-0.008,-0.028,0.001,-0.004,0.005,0.008,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.25,0.12,50.0,300.0,0.0,0.0013,0.0008,0.0018,0.0
0,1761630843.1880095,-0.006386557347742419,0.005354684912308671,0.38157824414035874,-0.08349943067948333,0.027495685166313427,-0.0034625174865530253,0.38923174971657293,-0.0810528508459005,-0.03,-0.032,-0.001,0.999,-0.002,0.001,-0.037,0.004,-0.006,-0.006,-0.017,-0.01,0.001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.25,0.12,50.0,300.0,0.0,0.0014,0.001,0.002,0.0
0,1761630843.2224205,0.001377206775279651,0.005918716077724411,0.38166570246445364,-0.08337454278782032,0.07125108388247828,0.010994996566466065,0.38245282738130837,-0.08225055176285326,-0.03,-0.032,-0.0,0.999,-0.002,0.001,-0.037,-0.001,0.011,0.005,0.014,0.007,-0.001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.25,0.12,50.0,300.0,0.0,0.0018,0.0012,0.0023,0.0
0,1761630843.2562194,-0.012147297685147381,0.012886978013131501,0.38187783289515814,-0.08324059675662926,-0.13386783782899064,0.07560133543179529,0.38378700677149813,-0.08203508247590974,-0.03,-0.033,-0.0,0.999,-0.002,0.001,-0.037,-0.018,-0.028,0.003,-0.005,0.01,0.005,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.25,0.12,50.0,300.0,0.0,0.0019,0.0012,0.0024,0.0
