step,timestamp,u0,u1,u2,u3,pose_x,pose_y,pose_z,pose_qw,pose_qx,pose_qy,pose_qz
0,1761790044.596409,-0.3355696201324463,-0.538089394569397,-1.0680046081542969,0.453637957572937,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
1,1761790044.6001523,0.04147510603070259,-0.21896709501743317,-0.7361836433410645,0.3235324025154114,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
2,1761790044.625773,0.19878025352954865,0.7558327317237854,-1.0202317237854004,-0.11669796705245972,-0.0,0.0,0.103,1.0,-0.003,-0.008,-0.003
3,1761790044.6402736,0.42968013882637024,0.4873422086238861,-0.9241446256637573,0.22680823504924774,-0.0,0.0,0.105,1.0,-0.004,-0.01,-0.006
4,1761790044.6586533,-0.43230363726615906,0.4475729465484619,-1.1768865585327148,-0.3108280301094055,-0.001,0.0,0.124,1.0,0.001,-0.022,-0.006
5,1761790044.6773384,-0.11752535402774811,-0.372715026140213,-1.1443703174591064,-0.4404914379119873,-0.002,0.0,0.148,1.0,0.005,-0.029,-0.006
6,1761790044.7009146,0.4260651469230652,-0.0035143978893756866,-1.1030722856521606,-1.3551684617996216,-0.007,0.0,0.234,0.999,0.01,-0.052,0.01
7,1761790044.7198393,0.37910526990890503,0.06969907879829407,-1.1098042726516724,-1.0045086145401,-0.01,-0.0,0.279,0.997,0.007,-0.073,0.018
8,1761790044.746076,-0.7156881093978882,-0.7610605955123901,-1.2632803916931152,-1.1124180555343628,-0.013,-0.0,0.314,0.997,0.005,-0.076,0.025
9,1761790044.7593157,0.359834223985672,0.040894877165555954,-1.1205494403839111,-1.3135592937469482,-0.017,-0.001,0.354,0.997,0.009,-0.075,0.026
10,1761790044.7874136,-0.5280404686927795,-0.9460066556930542,-1.2007125616073608,-0.8626953363418579,-0.04,-0.004,0.547,0.989,0.013,-0.14,0.052
11,1761790044.8048005,-1.4710867404937744,-1.7046977281570435,-1.360634207725525,-1.0217207670211792,-0.054,-0.005,0.636,0.981,0.002,-0.158,0.109
12,1761790044.8264604,-0.9584712386131287,-1.3750988245010376,-1.2575279474258423,-0.6530138850212097,-0.084,-0.009,0.806,0.978,-0.009,-0.168,0.12
13,1761790044.8441315,-0.7644863128662109,-1.1834049224853516,-1.218434453010559,-0.813518226146698,-0.102,-0.012,0.896,0.978,-0.03,-0.163,0.124
14,1761790044.8610926,-1.195420265197754,-1.648776888847351,-1.2914414405822754,-0.6872552633285522,-0.142,-0.016,1.095,0.974,-0.048,-0.173,0.135
15,1761790044.8843381,-2.122962713241577,-2.59243106842041,-1.3892483711242676,-0.32260662317276,-0.182,-0.021,1.29,0.968,-0.064,-0.191,0.147
16,1761790044.9014952,-1.9643571376800537,-2.4173102378845215,-1.3784300088882446,-0.3893404006958008,-0.234,-0.027,1.532,0.959,-0.086,-0.217,0.161
17,1761790044.9261496,-1.9879958629608154,-2.2175164222717285,-1.3708529472351074,-0.39461687207221985,-0.253,-0.029,1.617,0.958,-0.087,-0.221,0.158
18,1761790044.945579,-1.8210850954055786,-2.0113353729248047,-1.3582844734191895,-0.4364410638809204,-0.29,-0.033,1.786,0.957,-0.093,-0.23,0.153
19,1761790044.9648054,-2.066782236099243,-2.2060928344726562,-1.3909034729003906,-0.36164960265159607,-0.321,-0.037,1.918,0.954,-0.1,-0.24,0.151
20,1761790044.9842436,-2.2770168781280518,-2.3807973861694336,-1.4171810150146484,-0.3292720317840576,-0.355,-0.04,2.064,0.949,-0.11,-0.253,0.152
21,1761790045.004925,-2.544499397277832,-2.9284591674804688,-1.4362810850143433,-0.32148805260658264,-0.398,-0.045,2.239,0.943,-0.123,-0.269,0.154
22,1761790045.0185318,-2.613518714904785,-2.7455172538757324,-1.4513680934906006,-0.3094358742237091,-0.437,-0.048,2.393,0.936,-0.136,-0.286,0.154
23,1761790045.04147,-2.651550054550171,-2.749615430831909,-1.4631171226501465,-0.32342126965522766,-0.48,-0.053,2.56,0.93,-0.147,-0.302,0.151
24,1761790045.0606248,-2.8259687423706055,-3.2375295162200928,-1.4681414365768433,-0.32906731963157654,-0.499,-0.054,2.634,0.927,-0.152,-0.309,0.15
25,1761790045.0805895,-3.2323062419891357,-3.7380917072296143,-1.502421259880066,-0.2723501920700073,-0.559,-0.06,2.851,0.916,-0.169,-0.331,0.149
26,1761790045.0999804,-3.220322608947754,-3.8511054515838623,-1.509490966796875,-0.3345079720020294,-0.599,-0.063,2.992,0.908,-0.182,-0.347,0.15
27,1761790045.119348,-3.444361448287964,-4.101744651794434,-1.5254971981048584,-0.28200092911720276,-0.631,-0.066,3.101,0.9,-0.193,-0.362,0.149
28,1761790045.139345,-3.571216344833374,-4.302628040313721,-1.5389288663864136,-0.27770888805389404,-0.675,-0.07,3.248,0.886,-0.211,-0.384,0.149
29,1761790045.1586094,-3.666259527206421,-4.352870464324951,-1.5415494441986084,-0.26113125681877136,-0.708,-0.073,3.352,0.878,-0.221,-0.399,0.146
30,1761790045.1784635,-3.722048282623291,-4.457679748535156,-1.551997423171997,-0.26130497455596924,-0.754,-0.076,3.492,0.874,-0.224,-0.408,0.14
31,1761790045.2003245,-3.6164891719818115,-4.384757995605469,-1.5467529296875,-0.3016563355922699,-0.788,-0.078,3.591,0.868,-0.23,-0.417,0.137
32,1761790045.2198865,-3.7466797828674316,-4.52869176864624,-1.5517828464508057,-0.24503685534000397,-0.835,-0.081,3.724,0.859,-0.24,-0.431,0.135
33,1761790045.242512,-3.8200230598449707,-4.521520137786865,-1.5572208166122437,-0.2245519608259201,-0.878,-0.083,3.84,0.853,-0.245,-0.442,0.128
34,1761790045.2586696,-3.6451284885406494,-4.39205265045166,-1.5442984104156494,-0.2653026282787323,-0.918,-0.085,3.942,0.846,-0.252,-0.454,0.123
35,1761790045.278831,-3.595773220062256,-4.285702228546143,-1.5376328229904175,-0.24469594657421112,-0.962,-0.087,4.052,0.836,-0.261,-0.468,0.12
36,1761790045.2993398,-3.7910537719726562,-4.529627323150635,-1.5557076930999756,-0.23453493416309357,-1.003,-0.088,4.148,0.829,-0.268,-0.478,0.116
37,1761790045.3183296,-3.6519272327423096,-4.388108253479004,-1.5417900085449219,-0.242289200425148,-1.048,-0.09,4.251,0.818,-0.277,-0.492,0.111
38,1761790045.338985,-3.815319299697876,-4.529064655303955,-1.5607190132141113,-0.23788203299045563,-1.094,-0.091,4.35,0.809,-0.284,-0.504,0.106
39,1761790045.3610013,-3.5791168212890625,-4.197861671447754,-1.5325524806976318,-0.20899228751659393,-1.141,-0.092,4.445,0.799,-0.293,-0.516,0.102
40,1761790045.3810346,-3.793612241744995,-4.508774280548096,-1.5586508512496948,-0.23762395977973938,-1.178,-0.093,4.519,0.788,-0.301,-0.527,0.099
41,1761790045.4024053,-3.52465558052063,-3.9674770832061768,-1.5269168615341187,-0.16681677103042603,-1.211,-0.093,4.581,0.778,-0.31,-0.538,0.097
42,1761790045.4230917,-3.530271291732788,-3.371457099914551,-1.527903437614441,-0.05576781556010246,-1.268,-0.094,4.684,0.76,-0.322,-0.557,0.09
43,1761790045.4382565,-3.5840437412261963,-4.151869297027588,-1.5356230735778809,-0.24354758858680725,-1.318,-0.092,4.759,0.77,-0.305,-0.553,0.093
44,1761790045.4595659,-3.956350803375244,-4.330350875854492,-1.5798722505569458,-0.19033445417881012,-1.396,-0.084,4.856,0.732,-0.322,-0.598,0.06
45,1761790045.4834516,-3.7213785648345947,-4.4349470138549805,-1.552872657775879,-0.2576754689216614,-1.465,-0.075,4.933,0.72,-0.325,-0.611,0.05
