step,timestamp,u0,u1,u2,u3,pose_x,pose_y,pose_z,pose_qw,pose_qx,pose_qy,pose_qz
0,1761144151.9572418,0.0,-0.049643759999999995,-0.4547980749136967,-0.0,0.393,-0.0,0.1,1.0,0.0,0.0,-0.0
1,1761144151.964322,0.0,-0.051900825,-0.45798396217864523,-0.0,0.393,-0.0,0.1,1.0,0.0,-0.0,-0.0
2,1761144151.9727654,0.0,-0.05766888,-0.4690507044137229,-0.0,0.393,-0.0,0.1,1.0,0.0,-0.0,-0.0
3,1761144151.9810276,0.0,-0.06832881832853031,-0.4955562604479219,-0.0,0.394,-0.0,0.101,1.0,0.0,-0.001,-0.0
4,1761144151.989532,0.0,-0.07773418332853031,-0.5079364785113545,-0.0,0.395,-0.0,0.101,1.0,0.0,-0.001,-0.0
5,1761144151.9979835,0.0,-0.08087056162817038,-0.5094859938068108,-0.0,0.396,-0.0,0.102,1.0,0.0,-0.002,-0.0
6,1761144152.006253,0.0,-0.0830031616281704,-0.5064383437030251,-0.0,0.397,-0.0,0.103,1.0,0.0,-0.002,-0.0
7,1761144152.0147717,0.0,-0.10382078986966889,-0.5355708513939338,-0.0,0.399,-0.0,0.104,1.0,0.0,-0.003,-0.0
8,1761144152.0227275,0.0,-0.12614250986966888,-0.5607629315997779,-0.0,0.401,0.0,0.105,1.0,-0.0,-0.003,0.0
9,1761144152.0312755,0.0,-0.11837061802305236,-0.5416306754145964,-0.0,0.403,0.0,0.107,1.0,-0.0,-0.004,0.0
10,1761144152.0393915,0.0,-0.14357784105726407,-0.5563149489936015,-0.0,0.406,0.0,0.108,1.0,-0.0,-0.005,0.0
11,1761144152.0475898,0.0,-0.15097927893980279,-0.5532672988898157,-0.0,0.409,0.0,0.109,1.0,-0.0,-0.006,0.0
12,1761144152.0559678,0.0,-0.14045045663636122,-0.5298607734465295,-0.0,0.413,0.0,0.11,1.0,-0.0,-0.007,0.0
13,1761144152.064456,0.0,-0.13343255411046454,-0.518275530458437,-0.0,0.417,0.0,0.111,1.0,-0.0,-0.008,0.0
14,1761144152.0734377,0.0,-0.12265279632310853,-0.5096510809000945,-0.0,0.421,0.0,0.113,1.0,-0.0,-0.009,0.0
15,1761144152.0812695,0.0,-0.1457289232323977,-0.5282757819641642,-0.0,0.425,0.0,0.114,1.0,-0.0,-0.01,0.0
16,1761144152.0894148,0.0,-0.16403993823239765,-0.540989841800637,-0.0,0.429,0.0,0.115,1.0,-0.0,-0.01,0.0
17,1761144152.0982006,0.0,-0.13633292979318254,-0.5169265784431734,-0.0,0.434,0.0,0.116,1.0,-0.0,-0.011,0.0
18,1761144152.1064184,0.0,-0.16429994667019662,-0.5371985971086382,-0.0,0.439,0.0,0.118,1.0,-0.0,-0.013,0.0
