step,timestamp,u0,u1,u2,u3,u0_rate,u1_rate,u2_rate,u3_rate,pose_x,pose_y,pose_z,pose_qw,pose_qx,pose_qy,pose_qz,pose_vx,pose_vy,pose_vz,pose_avx,pose_avy,pose_avz,traj_x_ref,traj_y_ref,traj_z_ref,traj_qw_ref,traj_qx_ref,traj_qy_ref,traj_qz_ref,est_param_thrust_ratio,est_param_drag_coeff_z,est_param_tau_rate,est_param_centre_rate_deg,est_param_max_rate_deg,est_param_rate_expo,MPC_setup_time,MPC_solve_time,Visualisation_time,UKF_update_time
0,1761630544.2475615,6.265996043605328e-05,-3.9960288242558445e-06,0.04999999895716761,-0.006247231517573091,0.0006265996043605328,-3.996028824255844e-05,0.499999989571676,-0.0624723151757309,-0.027,-0.027,-0.188,0.998,0.013,-0.062,0.005,-0.091,-0.081,0.022,-0.008,0.01,0.012,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.25,0.12,50.0,300.0,0.0,0.0101,0.0063,0.0074,0.0
0,1761630544.269745,-0.04993350278100847,0.049996373718655625,0.09499999645441178,0.007188007564774231,-0.49989896745400914,0.4999997014459745,0.4999999739296092,0.1281051593059001,-0.027,-0.027,-0.188,0.998,0.013,-0.062,0.005,-0.091,-0.081,0.022,-0.008,0.01,0.012,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.25,0.12,50.0,300.0,0.0,0.0031,0.0034,0.0065,0.0
0,1761630544.2958796,-0.09060483638660706,0.09499603531928968,0.13549998774090297,0.031189444611983377,-0.4566468388369944,0.4999929897249963,0.4999999093193237,0.24720237803686565,-0.025,-0.022,-0.191,0.998,0.013,-0.063,0.004,0.063,0.125,-0.095,0.004,-0.062,-0.052,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.25,0.12,50.0,300.0,0.0,0.0017,0.0018,0.0026,0.0
0,1761630544.327179,-0.09532440598593235,0.13549581892451867,0.17194998522964625,0.02203324508310876,-0.13780053237985987,0.49999387137157963,0.4999999626283356,-0.06037255067676278,-0.025,-0.024,-0.187,0.998,0.013,-0.062,0.005,-0.005,-0.041,0.118,0.009,0.06,0.02,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.25,0.12,50.0,300.0,0.0,0.0013,0.001,0.0017,0.0
0,1761630544.3605437,-0.06691483214002376,0.17194539876950787,0.20475498420036797,0.02237451909559205,0.18877133247315353,0.49999161737441095,0.49999997493686366,0.02544598520794171,-0.026,-0.026,-0.195,0.998,0.013,-0.064,0.005,-0.007,0.079,-0.137,0.011,-0.073,-0.032,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.25,0.12,50.0,300.0,0.0,0.0013,0.001,0.0017,0.0
0,1761630544.394072,-0.05597427311471096,0.2046952613507131,0.23427944388847288,0.01766083952762398,0.042490758113104266,0.4994440245815598,0.4999995810814167,-0.02476227658408864,-0.025,-0.024,-0.189,0.998,0.013,-0.063,0.005,0.027,0.067,0.154,0.038,0.069,-0.021,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.25,0.12,50.0,300.0,0.0,0.0013,0.0011,0.0018,0.0
0,1761630544.4280837,-0.08500709086495639,0.2342210846311355,0.26085148711068695,0.014505184736138037,-0.34630245061716525,0.4999534941549374,0.499999876110614,-0.013895708387235448,-0.028,-0.024,-0.192,0.998,0.013,-0.063,0.005,-0.081,-0.023,-0.08,-0.023,-0.026,0.011,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.25,0.12,50.0,300.0,0.0,0.0015,0.0012,0.0022,0.0
0,1761630544.4768782,-0.07029642509717962,0.24989962689662668,0.28476631394243773,0.013753381712690093,0.06209956681281127,0.3910065072860471,0.4999997554281946,0.0069871545016585886,-0.025,-0.023,-0.197,0.998,0.013,-0.064,0.005,0.085,0.035,-0.134,-0.005,-0.071,-0.002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.25,0.12,50.0,300.0,0.0,0.0062,0.004,0.0092,0.0
0,1761630544.5049698,-0.06662194804283772,0.24995010781212906,0.30628967731232176,0.012752289688139452,-0.033551654553760774,0.2504044360516508,0.49999994764127853,0.003742461467183671,-0.025,-0.023,-0.197,0.998,0.013,-0.064,0.005,0.085,0.035,-0.134,-0.005,-0.071,-0.002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.25,0.12,50.0,300.0,0.0,0.0073,0.0026,0.005,0.0
0,1761630544.5328875,-0.09592501124996208,0.2495473842028976,0.32566003665178384,0.01120972799263292,-0.35965258011408124,0.24592287171981436,0.4999932707069427,-0.0026733272669258587,-0.025,-0.027,-0.19,0.998,0.013,-0.063,0.005,0.015,-0.032,0.073,0.011,0.038,0.007,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.25,0.12,50.0,300.0,0.0,0.0042,0.0015,0.004,0.0
