step,timestamp,u0,u1,u2,u3,pose_x,pose_y,pose_z,pose_qw,pose_qx,pose_qy,pose_qz
0,1761788296.394885,-0.3355696201324463,-0.538089394569397,-1.0680046081542969,0.453637957572937,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
1,1761788296.400188,0.04147510603070259,-0.21896709501743317,-0.7361836433410645,0.3235324025154114,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
2,1761788296.4143035,-0.12754270434379578,-0.2886368930339813,-0.7604689002037048,0.4258215129375458,-0.0,-0.0,0.1,1.0,-0.0,0.0,-0.0
3,1761788296.43394,-0.1291084736585617,-0.18352992832660675,-0.7852512001991272,0.3839989900588989,-0.0,-0.0,0.1,1.0,-0.0,0.0,-0.002
4,1761788296.4518929,-0.0013853665441274643,-0.3124665915966034,-0.7544317245483398,0.36834052205085754,-0.0,-0.001,0.1,1.0,-0.0,0.0,-0.006
5,1761788296.474936,-0.0625685453414917,-0.2414613664150238,-0.7391502857208252,0.42708903551101685,-0.0,-0.001,0.1,1.0,-0.0,0.0,-0.007
6,1761788296.4930086,-0.031935930252075195,-0.217192605137825,-0.7590774893760681,0.41673552989959717,-0.0,-0.001,0.1,1.0,-0.0,0.0,-0.009
7,1761788296.5146027,-0.08842755854129791,-0.16128617525100708,-0.7500400543212891,0.4315372109413147,-0.001,-0.001,0.1,1.0,0.0,-0.0,-0.012
8,1761788296.5336,0.08640585839748383,-0.21577659249305725,-0.7432429790496826,0.4361717402935028,-0.001,-0.002,0.1,1.0,-0.0,-0.0,-0.015
9,1761788296.5524876,0.062370505183935165,-0.21957261860370636,-0.7220511436462402,0.42103466391563416,-0.001,-0.002,0.1,1.0,-0.0,-0.0,-0.018
10,1761788296.571423,0.08343948423862457,-0.23591293394565582,-0.7277020215988159,0.41772934794425964,-0.001,-0.002,0.1,1.0,-0.0,-0.0,-0.02
11,1761788296.5917022,0.11478538811206818,-0.23391364514827728,-0.7088387608528137,0.43688884377479553,-0.001,-0.003,0.1,1.0,-0.0,-0.0,-0.022
12,1761788296.6117785,0.09389674663543701,-0.22226326167583466,-0.7267040014266968,0.37487003207206726,-0.0,-0.003,0.1,1.0,-0.0,-0.0,-0.025
13,1761788296.6324384,0.1952919214963913,-0.23243504762649536,-0.6967850923538208,0.4546582102775574,-0.0,-0.003,0.1,1.0,-0.0,-0.0,-0.028
14,1761788296.651732,0.14874403178691864,-0.2262924462556839,-0.7085148096084595,0.40735504031181335,-0.0,-0.004,0.1,1.0,-0.0,-0.0,-0.03
15,1761788296.6729054,0.2213272899389267,-0.21013416349887848,-0.7037757039070129,0.4096203148365021,0.0,-0.004,0.1,0.999,0.0,-0.0,-0.035
16,1761788296.6918519,0.23330740630626678,-0.21240971982479095,-0.700747549533844,0.41110798716545105,0.0,-0.005,0.1,0.999,0.0,-0.0,-0.039
17,1761788296.7155218,0.20206333696842194,-0.1999656707048416,-0.7013864517211914,0.45097070932388306,0.0,-0.005,0.1,0.999,0.0,-0.0,-0.043
18,1761788296.7319741,0.2947109341621399,-0.21874354779720306,-0.7123951315879822,0.3948509395122528,0.0,-0.006,0.1,0.999,0.001,-0.0,-0.046
19,1761788296.7549734,0.31070244312286377,-0.2183987945318222,-0.6856523752212524,0.42250582575798035,0.001,-0.006,0.1,0.999,0.001,-0.0,-0.05
20,1761788296.773884,0.30814141035079956,-0.21851477026939392,-0.7012232542037964,0.42983782291412354,0.001,-0.007,0.1,0.999,0.001,-0.0,-0.053
21,1761788296.793508,0.2733614146709442,-0.20185323059558868,-0.7204045057296753,0.3849946856498718,0.001,-0.007,0.1,0.998,0.002,-0.0,-0.058
22,1761788296.810759,0.22069625556468964,-0.18082396686077118,-0.7421486973762512,0.38005685806274414,0.001,-0.008,0.1,0.998,0.004,-0.0,-0.063
23,1761788296.8317986,0.37404894828796387,-0.21697263419628143,-0.7148020267486572,0.4176236689090729,0.001,-0.009,0.1,0.998,0.005,-0.0,-0.067
24,1761788296.852147,0.32925471663475037,-0.2191726416349411,-0.7130060791969299,0.4018457233905792,0.001,-0.01,0.1,0.998,0.006,-0.0,-0.069
25,1761788296.87226,0.33772778511047363,-0.18601545691490173,-0.7131222486495972,0.4235709607601166,0.001,-0.01,0.1,0.997,0.008,-0.001,-0.072
26,1761788296.8937278,0.3808131515979767,-0.20965255796909332,-0.7313318252563477,0.38000771403312683,0.001,-0.011,0.1,0.997,0.009,-0.001,-0.075
27,1761788296.914788,0.2867361307144165,-0.17911316454410553,-0.7444441914558411,0.3581372797489166,0.001,-0.012,0.1,0.997,0.01,-0.001,-0.079
28,1761788296.9315267,0.31489354372024536,-0.19434677064418793,-0.7338827848434448,0.42202088236808777,0.001,-0.012,0.101,0.997,0.012,-0.001,-0.081
29,1761788296.950961,0.3457745313644409,-0.21400757133960724,-0.7515520453453064,0.3589154779911041,0.001,-0.013,0.101,0.996,0.015,-0.001,-0.083
30,1761788296.9703982,0.2962273955345154,-0.20486856997013092,-0.7232547402381897,0.4001936614513397,0.001,-0.014,0.101,0.996,0.017,-0.001,-0.085
31,1761788296.9931355,0.3968299627304077,-0.2238464206457138,-0.74234938621521,0.38671162724494934,0.001,-0.014,0.101,0.996,0.018,-0.002,-0.086
32,1761788297.0135598,0.35462677478790283,-0.19817033410072327,-0.7360420823097229,0.3392840623855591,0.001,-0.014,0.101,0.996,0.018,-0.002,-0.088
33,1761788297.0332913,0.31790971755981445,-0.21449731290340424,-0.7464148998260498,0.39392194151878357,0.001,-0.015,0.101,0.996,0.021,-0.002,-0.091
34,1761788297.0511208,0.3578813076019287,-0.23006875813007355,-0.7400728464126587,0.3742668628692627,0.001,-0.016,0.101,0.995,0.023,-0.002,-0.093
35,1761788297.0745602,0.3407013714313507,-0.22834771871566772,-0.7446640133857727,0.36752602458000183,0.001,-0.016,0.101,0.995,0.024,-0.002,-0.094
36,1761788297.092549,0.34267717599868774,-0.23543530702590942,-0.7384093999862671,0.37670719623565674,0.001,-0.017,0.101,0.995,0.025,-0.002,-0.095
37,1761788297.1130137,0.32665443420410156,-0.21046942472457886,-0.754806399345398,0.36171379685401917,0.001,-0.018,0.101,0.995,0.028,-0.003,-0.098
38,1761788297.1311848,0.3461952209472656,-0.2370975762605667,-0.7504447102546692,0.3681982457637787,0.001,-0.018,0.101,0.995,0.03,-0.003,-0.1
39,1761788297.152611,0.28301680088043213,-0.21837536990642548,-0.752970814704895,0.36015594005584717,0.001,-0.019,0.101,0.994,0.032,-0.003,-0.101
40,1761788297.1704664,0.2992710471153259,-0.20566166937351227,-0.773684024810791,0.3486253023147583,0.001,-0.019,0.101,0.994,0.034,-0.004,-0.102
41,1761788297.1945963,0.3245686888694763,-0.23553185164928436,-0.7406736016273499,0.3790740370750427,0.001,-0.02,0.102,0.994,0.036,-0.004,-0.103
42,1761788297.2121825,0.33855146169662476,-0.25530996918678284,-0.7367027401924133,0.37884774804115295,0.001,-0.02,0.102,0.994,0.037,-0.004,-0.103
43,1761788297.2314742,0.3441925048828125,-0.25712430477142334,-0.7484958171844482,0.3513074815273285,0.001,-0.02,0.102,0.994,0.038,-0.004,-0.104
