step,timestamp,u0,u1,u2,u3,pose_x,pose_y,pose_z,pose_qw,pose_qx,pose_qy,pose_qz
0,1761787920.3044472,-0.3355696201324463,-0.538089394569397,-1.0680046081542969,0.453637957572937,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
1,1761787920.3072622,0.04147510603070259,-0.21896709501743317,-0.7361836433410645,0.3235324025154114,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
2,1761787920.3102462,-0.15324877202510834,-0.31944891810417175,-0.7579748630523682,0.4387992322444916,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
3,1761787920.3304908,0.01325315609574318,-0.14750944077968597,-0.790442705154419,0.3417145311832428,-0.0,-0.0,0.1,1.0,-0.001,0.0,-0.003
4,1761787920.3509874,-0.33168256282806396,-0.208648681640625,-0.7431939840316772,0.4837593138217926,-0.0,-0.001,0.1,1.0,-0.0,-0.0,-0.005
5,1761787920.3724258,-0.0303665604442358,-0.06949567794799805,-0.8689514398574829,0.26338380575180054,-0.0,-0.001,0.1,1.0,-0.0,0.0,-0.008
6,1761787920.3921025,-0.0030812062323093414,-0.2627266049385071,-0.6853396892547607,0.4929063022136688,-0.0,-0.001,0.1,1.0,-0.001,0.0,-0.012
7,1761787920.4104688,0.06260243058204651,-0.0967627614736557,-0.7933274507522583,0.3430057466030121,-0.001,-0.001,0.1,1.0,-0.001,0.0,-0.015
8,1761787920.4348173,-0.5204299688339233,-0.08028005063533783,-0.7557366490364075,0.49333062767982483,-0.001,-0.002,0.1,1.0,-0.0,0.0,-0.019
9,1761787920.4543743,0.15025432407855988,-0.22582460939884186,-0.817156970500946,0.40247830748558044,-0.001,-0.002,0.1,1.0,0.001,-0.0,-0.02
10,1761787920.4761736,0.30630698800086975,-0.252642422914505,-0.6880078315734863,0.3884887397289276,-0.001,-0.002,0.1,1.0,-0.0,0.0,-0.026
11,1761787920.4952035,0.15563835203647614,-0.23633378744125366,-0.687507688999176,0.4703013598918915,-0.001,-0.002,0.1,1.0,-0.0,0.0,-0.027
12,1761787920.5153387,0.13423098623752594,-0.17082378268241882,-0.7375156879425049,0.4245922565460205,-0.001,-0.002,0.1,1.0,0.0,-0.0,-0.029
13,1761787920.5344586,0.1395438313484192,-0.2558360993862152,-0.7133556008338928,0.4518018066883087,-0.001,-0.003,0.1,0.999,0.0,-0.0,-0.036
14,1761787920.5518265,0.3272075057029724,-0.21944300830364227,-0.727623701095581,0.34907981753349304,-0.0,-0.004,0.1,0.999,0.0,-0.0,-0.041
15,1761787920.571411,0.2539275288581848,-0.20546336472034454,-0.683324933052063,0.44536682963371277,-0.0,-0.004,0.1,0.999,0.0,-0.0,-0.044
16,1761787920.5921412,0.3154105544090271,-0.21171027421951294,-0.7203410267829895,0.40797534584999084,-0.0,-0.005,0.1,0.999,0.001,-0.0,-0.046
17,1761787920.6144464,0.28369033336639404,-0.19982847571372986,-0.7023849487304688,0.41949203610420227,0.0,-0.005,0.1,0.999,0.001,-0.0,-0.052
18,1761787920.6320329,0.25250500440597534,-0.18778586387634277,-0.7429317831993103,0.3716471195220947,0.0,-0.006,0.1,0.998,0.002,-0.0,-0.056
19,1761787920.650958,0.303004652261734,-0.19243578612804413,-0.7197127938270569,0.4093974530696869,0.0,-0.007,0.1,0.998,0.003,-0.0,-0.06
20,1761787920.6733134,0.32636886835098267,-0.20757634937763214,-0.7294000387191772,0.3834191858768463,0.0,-0.007,0.1,0.998,0.004,-0.0,-0.062
21,1761787920.6936378,0.35514140129089355,-0.2118970900774002,-0.7031987309455872,0.42761164903640747,0.0,-0.008,0.1,0.998,0.005,-0.0,-0.065
22,1761787920.7110503,0.3470607399940491,-0.21316345036029816,-0.7261876463890076,0.40389499068260193,0.001,-0.008,0.1,0.998,0.006,-0.0,-0.068
23,1761787920.734684,0.3404536247253418,-0.19124144315719604,-0.7192879915237427,0.39962804317474365,0.001,-0.009,0.1,0.998,0.007,-0.001,-0.07
24,1761787920.7535155,0.3271995782852173,-0.19267655909061432,-0.7348664402961731,0.40232032537460327,0.001,-0.01,0.1,0.997,0.009,-0.001,-0.073
