step,timestamp,u0,u1,u2,u3,u0_rate,u1_rate,u2_rate,u3_rate,pose_x,pose_y,pose_z,pose_qw,pose_qx,pose_qy,pose_qz,pose_vx,pose_vy,pose_vz,pose_avx,pose_avy,pose_avz,traj_x_ref,traj_y_ref,traj_z_ref,traj_qw_ref,traj_qx_ref,traj_qy_ref,traj_qz_ref,est_param_thrust_ratio,est_param_drag_coeff_z,est_param_tau_rate,est_param_centre_rate_deg,est_param_max_rate_deg,est_param_rate_expo,MPC_setup_time,MPC_solve_time,Visualisation_time,UKF_update_time
0,1761631121.5177357,2.44270461199913e-05,5.2832363951874475e-05,0.04999999989728576,-0.006545196319553951,0.000244270461199913,0.0005283236395187447,0.49999999897285763,-0.0654519631955395,-0.004,-0.001,0.005,1.0,-0.0,-0.0,0.001,0.004,-0.048,-0.022,-0.005,-0.013,0.023,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.25,0.12,50.0,300.0,0.0,0.0096,0.0045,0.0066,0.0
0,1761631121.5482469,0.0025165485243300637,-0.002738962849182263,0.09499999917275738,-0.0032881788427516047,0.024945641828220715,-0.027865119767389496,0.49999999265200185,0.026024978448469502,-0.004,-0.001,0.005,1.0,-0.0,-0.0,0.001,0.008,0.007,0.01,0.002,0.005,-0.004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.25,0.12,50.0,300.0,0.0,0.0046,0.0058,0.008,0.0
0,1761631121.5731752,0.008090399898729263,0.010688104722937682,0.13549998763385457,-0.0013192270256182064,0.05825506226832204,0.13153171287201718,0.49999988378372934,0.016401339328582377,-0.005,-0.0,0.006,1.0,0.0,-0.0,0.001,-0.027,0.021,0.024,0.009,0.009,-0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.25,0.12,50.0,300.0,0.0,0.0023,0.002,0.0058,0.0
0,1761631121.6035945,-0.002949632070662997,0.01883877618587948,0.17194998798160124,0.00036158536140089444,-0.10230991979519333,0.09219481935235566,0.4999999911113215,0.015488896844572803,-0.005,0.0,0.005,1.0,-0.0,-0.0,0.001,-0.04,-0.01,0.027,0.0,0.015,0.001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.25,0.12,50.0,300.0,0.0,0.0014,0.0013,0.0048,0.0
0,1761631121.635897,-0.011282570303484802,0.0070901487534617315,0.2047549888491132,0.0014588962416343752,-0.08627901439888104,-0.098647498138298,0.4999999966567207,0.011334694163735703,-0.005,-0.0,0.004,1.0,-0.0,-0.0,0.001,-0.001,-0.026,-0.028,-0.008,-0.008,0.004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.25,0.12,50.0,300.0,0.0,0.0022,0.0016,0.0026,0.0
0,1761631121.6744442,-0.01383431506861467,0.0040644150203988285,0.2342794876969158,0.00211430775350892,-0.036800017954783465,-0.023167188577167278,0.4999999773271394,0.008013011360379822,-0.005,-0.0,0.004,1.0,-0.0,-0.0,0.001,-0.001,-0.026,-0.028,-0.008,-0.008,0.004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.25,0.12,50.0,300.0,0.0,0.0039,0.0028,0.0044,0.0
0,1761631121.700654,-0.006417335742494441,0.00020899045284818304,0.2608515387855118,0.00242790664705224,0.0603354781925876,-0.03448983065510763,0.49999999858287586,0.005250296688942118,-0.005,-0.001,0.005,1.0,-0.0,-0.0,0.001,0.002,-0.005,0.022,0.002,0.01,0.002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.25,0.12,50.0,300.0,0.0,0.0016,0.001,0.0017,0.0
0,1761631121.7535324,0.006017477223889079,0.007375905810729564,0.28476638476447064,0.0024541645751655983,0.11793079392134073,0.07187814403166198,0.4999999985751,0.00269048592818583,-0.005,-0.0,0.004,1.0,-0.0,-0.001,0.001,-0.002,0.017,-0.032,0.003,-0.017,-0.005,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.25,0.12,50.0,300.0,0.0,0.0105,0.0035,0.0095,0.0
0,1761631121.7760086,-0.0049509572045067455,-0.0015739999852051843,0.30628974627709044,0.0026296085259188825,-0.10366686706006917,-0.08212315214861793,0.4999999998906687,0.0042086040826984404,-0.004,-0.001,0.004,1.0,-0.0,-0.001,0.001,0.024,-0.019,0.012,0.001,0.002,0.008,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.25,0.12,50.0,300.0,0.0,0.0051,0.0029,0.005,0.0
0,1761631121.8044786,-0.0030737535308017856,0.005133977300352353,0.3256607713334691,0.0025981866765774375,0.013821079532542857,0.06550577287037018,0.4999999968408767,0.002315390032504432,-0.004,-0.001,0.005,1.0,-0.0,-0.0,0.001,-0.014,-0.005,0.017,-0.008,0.012,-0.001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.25,0.12,50.0,300.0,0.0,0.0033,0.001,0.0034,0.0
