step,timestamp,u0,u1,u2,u3,pose_x,pose_y,pose_z,pose_qw,pose_qx,pose_qy,pose_qz
0,1761740508.5941675,-0.247214213013649,0.26668721437454224,-0.9186269044876099,-0.008497155271470547,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
1,1761740508.5961323,-0.0534244105219841,0.021248487755656242,-0.9051127433776855,0.00397074967622757,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
2,1761740508.5983615,-0.08717246353626251,0.03848671168088913,-0.8901333808898926,-0.05016402527689934,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
3,1761740508.607265,-0.08252113312482834,0.05245479941368103,-0.8927738666534424,-0.04063250124454498,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
4,1761740508.6188462,-0.07959935814142227,0.050598517060279846,-0.8888574838638306,-0.04018906131386757,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
5,1761740508.6269312,-0.07755771279335022,0.052505865693092346,-0.8831570148468018,-0.04220167174935341,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
6,1761740508.6370614,-0.07675965875387192,0.05564609915018082,-0.8801262974739075,-0.04246150702238083,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
7,1761740508.64787,-0.07408224046230316,0.05739424377679825,-0.8746995329856873,-0.04347492381930351,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
8,1761740508.6571567,-0.07320057600736618,0.06007743626832962,-0.8713876008987427,-0.04411252960562706,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
9,1761740508.6691918,-0.07069451361894608,0.06246849149465561,-0.8660926222801208,-0.0449063777923584,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
10,1761740508.6781108,-0.06965962052345276,0.06516721844673157,-0.8627887964248657,-0.04527326673269272,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
11,1761740508.6892512,-0.066916324198246,0.06703680753707886,-0.8572269082069397,-0.04621651768684387,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
12,1761740508.7003093,-0.06618829816579819,0.0702824667096138,-0.853988766670227,-0.046506572514772415,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
13,1761740508.709251,-0.06338980793952942,0.07242513447999954,-0.848490834236145,-0.04726443812251091,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
14,1761740508.7220278,-0.06267727166414261,0.07553829997777939,-0.845077633857727,-0.047660503536462784,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
15,1761740508.7281282,-0.05971541255712509,0.07767819613218307,-0.8395434021949768,-0.0481245331466198,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
16,1761740508.7374454,-0.05876300483942032,0.08046033978462219,-0.8360207080841064,-0.04853987321257591,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
17,1761740508.7478147,-0.05619094520807266,0.0831090658903122,-0.8303608298301697,-0.04938733950257301,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
18,1761740508.7571747,-0.05542819947004318,0.08639994263648987,-0.8269460201263428,-0.049461860209703445,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
19,1761740508.7689173,-0.05259844660758972,0.08852947503328323,-0.8211015462875366,-0.050238195806741714,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
20,1761740508.7774863,-0.05171196907758713,0.0920146182179451,-0.817730724811554,-0.0500909797847271,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
21,1761740508.7888465,-0.04888336360454559,0.09420747309923172,-0.8118102550506592,-0.05081702396273613,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
22,1761740508.7999055,-0.04814676195383072,0.09784939140081406,-0.8083626627922058,-0.05087864026427269,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
23,1761740508.8069313,-0.04553016275167465,0.10055863112211227,-0.802506148815155,-0.05122760310769081,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
24,1761740508.816976,-0.044464536011219025,0.10353611409664154,-0.798827052116394,-0.051206160336732864,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
25,1761740508.8270347,-0.042002953588962555,0.10638909786939621,-0.7928669452667236,-0.05176349729299545,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
26,1761740508.8372087,-0.0411965474486351,0.11005962640047073,-0.7892605066299438,-0.0517033226788044,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
27,1761740508.850866,-0.03861413896083832,0.11289552599191666,-0.7832375168800354,-0.05192343890666962,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
28,1761740508.8568466,-0.037815749645233154,0.1164325699210167,-0.7795156240463257,-0.051718100905418396,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
29,1761740508.8671505,-0.03498902916908264,0.11884894222021103,-0.7733248472213745,-0.05217953026294708,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
30,1761740508.8773396,-0.034453585743904114,0.122981496155262,-0.7697827816009521,-0.05180015414953232,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
31,1761740508.8876317,-0.03148558735847473,0.12543031573295593,-0.7637253999710083,-0.05187755450606346,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
32,1761740508.9005125,-0.03066297061741352,0.12911927700042725,-0.7601013779640198,-0.05174776539206505,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
33,1761740508.907045,-0.027732113376259804,0.13187776505947113,-0.7540885806083679,-0.05160558968782425,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
34,1761740508.917283,-0.026810521259903908,0.13561373949050903,-0.7505936026573181,-0.051101040095090866,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
35,1761740508.9272726,-0.02368565835058689,0.13780954480171204,-0.7444988489151001,-0.05110625550150871,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
36,1761740508.937653,-0.022947901859879494,0.14199036359786987,-0.7410744428634644,-0.0506623201072216,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
37,1761740508.948963,-0.019708599895238876,0.14444907009601593,-0.7351931929588318,-0.050349149852991104,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
38,1761740508.9575944,-0.01870553568005562,0.14797133207321167,-0.7316160202026367,-0.050077881664037704,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
39,1761740508.9673126,-0.015392005443572998,0.15044879913330078,-0.7257962822914124,-0.0496310219168663,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
40,1761740508.9776034,-0.014394627884030342,0.15439902245998383,-0.7225195169448853,-0.049064017832279205,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
41,1761740508.988026,-0.01104709692299366,0.15665218234062195,-0.7166198492050171,-0.048649948090314865,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
42,1761740508.9981325,-0.009897375479340553,0.1605214774608612,-0.7133481502532959,-0.04771168529987335,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
43,1761740509.0069647,-0.006720138713717461,0.16324713826179504,-0.7075767517089844,-0.0470530204474926,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
44,1761740509.0169334,-0.005341298878192902,0.1664077490568161,-0.7040974497795105,-0.046555157750844955,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
45,1761740509.0269334,-0.002184426411986351,0.16952377557754517,-0.6985955238342285,-0.045831870287656784,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
46,1761740509.0373187,-0.0007806736975908279,0.1727929264307022,-0.6952348351478577,-0.04473769664764404,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
47,1761740509.0512989,0.002466699108481407,0.1755082756280899,-0.6895263195037842,-0.04405844584107399,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
48,1761740509.0568972,0.0038937274366617203,0.17877215147018433,-0.6861663460731506,-0.04312076047062874,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
49,1761740509.0678158,0.007078899070620537,0.18168935179710388,-0.6806188225746155,-0.042312607169151306,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
50,1761740509.0772412,0.008523164317011833,0.1849929392337799,-0.6772902607917786,-0.04128443822264671,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
51,1761740509.0876706,0.011730002239346504,0.18794991075992584,-0.6717821955680847,-0.04034743085503578,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
52,1761740509.1011977,0.013188520446419716,0.19129817187786102,-0.6684792041778564,-0.03923233225941658,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
53,1761740509.111991,0.016494037583470345,0.19411930441856384,-0.6628747582435608,-0.038166601210832596,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
54,1761740509.1208005,0.0179606880992651,0.1975148767232895,-0.6595894694328308,-0.03696703910827637,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
55,1761740509.1281717,0.0213943924754858,0.2001248449087143,-0.6541059017181396,-0.03568178415298462,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
56,1761740509.139907,0.022672442719340324,0.20390720665454865,-0.6509324908256531,-0.03454539179801941,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
57,1761740509.148624,0.026121562346816063,0.20642925798892975,-0.6455451846122742,-0.03320395573973656,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
58,1761740509.1573536,0.027600614354014397,0.2094326615333557,-0.6422386169433594,-0.03232142701745033,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
59,1761740509.167457,0.03086422197520733,0.21228307485580444,-0.6370078325271606,-0.031036097556352615,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
60,1761740509.1771784,0.03236955404281616,0.21552777290344238,-0.6339156031608582,-0.02971913293004036,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
61,1761740509.1871629,0.03591811656951904,0.217682883143425,-0.6285728812217712,-0.028274845331907272,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
62,1761740509.197881,0.03733687102794647,0.22077617049217224,-0.6255490779876709,-0.027327071875333786,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
63,1761740509.2095375,0.04090926796197891,0.22280657291412354,-0.620290219783783,-0.02605932205915451,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
64,1761740509.2187724,0.0421542227268219,0.22655627131462097,-0.6175358295440674,-0.024790897965431213,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
65,1761740509.2291362,0.04591607302427292,0.22810649871826172,-0.6122955679893494,-0.023379022255539894,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
66,1761740509.2387893,0.047159820795059204,0.23150452971458435,-0.6094751358032227,-0.022466635331511497,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
67,1761740509.2479513,0.05070635676383972,0.23343488574028015,-0.6043858528137207,-0.02089221403002739,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
68,1761740509.257363,0.05213324725627899,0.2360089123249054,-0.6012155413627625,-0.02021380141377449,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
69,1761740509.2669895,0.05651424080133438,0.23066063225269318,-0.5936836004257202,-0.02158130332827568,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
70,1761740509.2769752,0.05489830672740936,0.23449543118476868,-0.5926300883293152,-0.02356068417429924,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
71,1761740509.2873065,0.05822010338306427,0.23280641436576843,-0.5873196125030518,-0.025674747303128242,0.0,-0.0,0.1,1.0,-0.0,0.0,0.0
72,1761740509.2979417,0.0615091398358345,0.21973152458667755,-0.5820296406745911,-0.026630915701389313,0.0,-0.0,0.1,1.0,-0.0,0.001,0.0
73,1761740509.3071744,0.06378336995840073,0.20795992016792297,-0.5704305171966553,-0.03254399821162224,0.0,-0.0,0.1,1.0,0.0,0.001,0.0
74,1761740509.3171585,0.05941491574048996,0.1974932700395584,-0.567192554473877,-0.03532719984650612,0.0,-0.0,0.1,1.0,0.0,0.002,0.001
75,1761740509.327391,0.06237153708934784,0.18656304478645325,-0.555736243724823,-0.03869582340121269,0.0,-0.0,0.1,1.0,0.0,0.002,0.001
76,1761740509.336961,0.061481088399887085,0.15508565306663513,-0.540646493434906,-0.04319796338677406,0.001,-0.0,0.1,1.0,0.0,0.003,0.001
77,1761740509.347523,0.06014687567949295,0.12634113430976868,-0.5216568112373352,-0.050310950726270676,0.001,-0.0,0.1,1.0,0.0,0.004,0.001
78,1761740509.357045,0.04652806371450424,0.06090182811021805,-0.4914731979370117,-0.05944376811385155,0.001,-0.0,0.101,1.0,0.001,0.005,0.002
79,1761740509.3669665,0.04876694828271866,0.09727982431650162,-0.5345343351364136,-0.05449587479233742,0.001,-0.0,0.101,1.0,0.001,0.006,0.002
80,1761740509.3770297,0.04877673089504242,0.047450773417949677,-0.5200018882751465,-0.05656988546252251,0.001,-0.001,0.101,1.0,0.002,0.006,0.003
81,1761740509.3873327,0.053871870040893555,0.05478236824274063,-0.5372567176818848,-0.05402407422661781,0.002,-0.001,0.102,1.0,0.002,0.007,0.003
82,1761740509.397061,0.058585360646247864,0.013239489868283272,-0.5288677215576172,-0.05029377341270447,0.002,-0.001,0.103,1.0,0.002,0.008,0.004
83,1761740509.406931,0.05558042973279953,-0.008000848814845085,-0.5335604548454285,-0.05326998233795166,0.002,-0.001,0.103,1.0,0.003,0.008,0.004
84,1761740509.4169848,0.055765941739082336,-0.0013679545372724533,-0.5470865368843079,-0.04896578565239906,0.002,-0.001,0.104,1.0,0.003,0.008,0.005
85,1761740509.4271607,0.056419990956783295,-0.0302132498472929,-0.5378073453903198,-0.050317730754613876,0.003,-0.001,0.105,1.0,0.004,0.008,0.005
86,1761740509.4370902,0.058859266340732574,-0.010616173967719078,-0.5473150014877319,-0.04881902411580086,0.003,-0.001,0.106,1.0,0.004,0.008,0.005
87,1761740509.447872,0.05352131277322769,-0.038095809519290924,-0.5340968370437622,-0.04519091174006462,0.003,-0.001,0.107,1.0,0.005,0.008,0.006
88,1761740509.457234,0.052861154079437256,-0.02725825645029545,-0.5415641069412231,-0.046082839369773865,0.004,-0.001,0.108,1.0,0.005,0.007,0.006
89,1761740509.4671657,0.047327056527137756,-0.04765188694000244,-0.5390243530273438,-0.04383102431893349,0.004,-0.002,0.108,1.0,0.006,0.007,0.007
90,1761740509.477154,0.0510488897562027,-0.030691983178257942,-0.5420520901679993,-0.04282139614224434,0.004,-0.002,0.109,1.0,0.006,0.007,0.007
91,1761740509.48769,0.042303867638111115,-0.04288192838430405,-0.5375180840492249,-0.04271543771028519,0.005,-0.002,0.11,1.0,0.007,0.006,0.007
92,1761740509.49747,0.040131255984306335,-0.03422476351261139,-0.5392748117446899,-0.0386073924601078,0.005,-0.002,0.111,1.0,0.007,0.006,0.008
93,1761740509.5072632,0.03953946381807327,-0.04823102056980133,-0.5309901237487793,-0.03816547244787216,0.006,-0.002,0.112,1.0,0.008,0.006,0.008
94,1761740509.517116,0.025914404541254044,-0.041556864976882935,-0.5510832071304321,-0.03717506304383278,0.006,-0.003,0.114,1.0,0.008,0.005,0.008
95,1761740509.5281537,0.034358490258455276,-0.029774950817227364,-0.5404759645462036,-0.034151144325733185,0.006,-0.003,0.115,1.0,0.008,0.005,0.009
96,1761740509.5369327,0.026861345395445824,-0.047313228249549866,-0.5395316481590271,-0.0300978422164917,0.007,-0.003,0.116,1.0,0.008,0.005,0.009
97,1761740509.547958,0.022834379225969315,-0.04337436705827713,-0.5380929708480835,-0.03198631480336189,0.007,-0.003,0.117,1.0,0.009,0.004,0.009
98,1761740509.5569952,0.016509734094142914,-0.042804136872291565,-0.545232355594635,-0.025507085025310516,0.008,-0.004,0.118,1.0,0.009,0.004,0.01
99,1761740509.5669494,0.017039917409420013,-0.04751439392566681,-0.5446445941925049,-0.023577893152832985,0.008,-0.004,0.119,1.0,0.009,0.004,0.01
100,1761740509.578721,0.015893666073679924,-0.03343743085861206,-0.5380059480667114,-0.024073485285043716,0.009,-0.004,0.12,1.0,0.009,0.003,0.01
101,1761740509.587186,0.008045329712331295,-0.042785853147506714,-0.5415266156196594,-0.018592631444334984,0.009,-0.005,0.122,1.0,0.009,0.003,0.01
102,1761740509.5978436,0.006529937963932753,-0.05353671312332153,-0.5350016355514526,-0.020190048962831497,0.01,-0.005,0.122,1.0,0.01,0.003,0.01
103,1761740509.6076093,0.0004493696615099907,-0.024793917313218117,-0.5381041765213013,-0.01611429825425148,0.01,-0.005,0.124,1.0,0.01,0.002,0.011
104,1761740509.6182303,0.009975634515285492,-0.01222153939306736,-0.5141136646270752,-0.015566928312182426,0.011,-0.006,0.125,1.0,0.01,0.002,0.011
105,1761740509.6302705,-0.010014096274971962,-0.031348854303359985,-0.5295606255531311,-0.008445614948868752,0.011,-0.006,0.126,1.0,0.01,0.002,0.011
106,1761740509.641138,-0.0020193997770547867,-0.044354408979415894,-0.5217435956001282,-0.013957476243376732,0.011,-0.006,0.126,1.0,0.01,0.002,0.011
107,1761740509.6477644,-0.02489517442882061,-0.024963269010186195,-0.5663474798202515,-0.010255214758217335,0.012,-0.007,0.129,1.0,0.01,0.001,0.011
108,1761740509.6569467,-0.018241984769701958,-0.026639005169272423,-0.5732758045196533,-0.011957034468650818,0.013,-0.008,0.131,1.0,0.01,0.001,0.011
109,1761740509.6668954,-0.019400982186198235,-0.025507047772407532,-0.5681520700454712,-0.010639797896146774,0.013,-0.008,0.132,1.0,0.01,0.001,0.011
110,1761740509.677984,-0.016270404681563377,-0.0026681553572416306,-0.5482344031333923,-0.006810168735682964,0.014,-0.009,0.134,1.0,0.009,0.0,0.011
111,1761740509.6884727,0.0011593475937843323,0.0268846582621336,-0.5125865936279297,-0.005986103788018227,0.014,-0.009,0.135,1.0,0.009,0.0,0.011
112,1761740509.6979735,-0.04164363443851471,-0.04327773302793503,-0.5284611582756042,0.012955466285347939,0.015,-0.01,0.136,1.0,0.009,0.0,0.012
