step,timestamp,u0,u1,u2,u3,u0_rate,u1_rate,u2_rate,u3_rate,pose_x,pose_y,pose_z,pose_qw,pose_qx,pose_qy,pose_qz,pose_vx,pose_vy,pose_vz,pose_avx,pose_avy,pose_avz,traj_x_ref,traj_y_ref,traj_z_ref,traj_qw_ref,traj_qx_ref,traj_qy_ref,traj_qz_ref,est_param_thrust_ratio,est_param_drag_coeff_z,est_param_tau_rate,est_param_centre_rate_deg,est_param_max_rate_deg,est_param_rate_expo,MPC_setup_time,MPC_solve_time,Visualisation_time,UKF_update_time
0,1761629670.1374109,0.0011096223444610307,1.8640354217203103e-05,0.05000000034391233,-0.0066176795540288345,0.011096223444610306,0.000186403542172031,0.5000000034391232,-0.06617679554028834,-0.359,0.061,-0.044,0.998,-0.01,0.01,0.061,0.294,-0.068,0.021,0.002,-0.027,0.016,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.25,0.12,50.0,300.0,0.0,0.0016,0.0013,0.0017,0.0
0,1761629670.172151,0.036266787286015505,-0.04824030892867569,0.0949999993475845,0.04372028344289784,0.3526812717600057,-0.4825708524747117,0.49999999038063403,0.49676195041523785,-0.359,0.061,-0.044,0.998,-0.01,0.01,0.061,0.294,-0.068,0.021,0.002,-0.027,0.016,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.25,0.12,50.0,300.0,0.0,0.0016,0.0016,0.0028,0.0
0,1761629670.2063882,0.049267656872857606,-0.08604306337507793,0.13549999717396288,0.08441903880756205,0.1662754831544365,-0.42626785339269807,0.499999977611368,0.45070783708954004,-0.359,0.061,-0.044,0.998,-0.01,0.01,0.061,0.294,-0.068,0.021,0.002,-0.027,0.016,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.25,0.12,50.0,300.0,0.0,0.0019,0.0014,0.0033,0.0
0,1761629670.237195,0.050902155998548776,-0.059218576206221576,0.1719499815362081,0.11011496137290562,0.0656126481297693,0.18220180831348554,0.49999984079641535,0.34137826446099784,-0.359,0.061,-0.044,0.998,-0.01,0.01,0.061,0.294,-0.068,0.021,0.002,-0.027,0.016,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.25,0.12,50.0,300.0,0.0,0.0014,0.0011,0.0016,0.0
0,1761629670.2755215,0.04986277254632091,-0.05215751583281361,0.20475498269836417,0.12529356143577886,0.04050832147627005,0.011392027527858076,0.49999999315776883,0.26190096200163804,-0.359,0.061,-0.044,0.998,-0.01,0.01,0.061,0.294,-0.068,0.021,0.002,-0.027,0.016,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.25,0.12,50.0,300.0,0.0,0.0042,0.0013,0.0034,0.0
0,1761629670.3148065,0.05029584782391168,-0.045245790401964046,0.23427948287137235,0.13159815756857052,0.0541935253222285,0.016959738475682044,0.4999999844284462,0.18833952276369542,-0.359,0.061,-0.044,0.998,-0.01,0.01,0.061,0.294,-0.068,0.021,0.002,-0.027,0.016,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.25,0.12,50.0,300.0,0.0,0.0062,0.0049,0.004,0.0
0,1761629670.3470254,0.05138643636724036,-0.04222366369199695,0.26085153430011737,0.1331902051302913,0.061201733257198444,-0.015024523302292928,0.49999999715882226,0.14751863318577849,-0.359,0.061,-0.044,0.998,-0.01,0.01,0.061,0.294,-0.068,0.021,0.002,-0.027,0.016,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.25,0.12,50.0,300.0,0.0,0.0035,0.0022,0.0083,0.0
0,1761629705.8095322,0.09428438334012237,0.011876316898966677,0.28476637825906936,0.09653882301751669,0.4803659060960605,0.4987761422176393,0.4999999738896372,-0.23332361599745494,0.009,-0.012,-0.119,0.999,-0.02,-0.012,0.026,-0.001,-0.003,0.009,0.001,0.007,0.002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.25,0.12,50.0,300.0,0.0,0.0034,0.0025,0.0041,0.0
0,1761629705.8414316,0.1125566989618067,0.05793196409227777,0.3062897291659958,0.07451054830371387,0.2770075395569655,0.4724327888320776,0.4999998873283339,-0.12374392412051141,0.009,-0.012,-0.119,0.999,-0.02,-0.012,0.026,-0.001,-0.003,0.009,0.001,0.007,0.002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.25,0.12,50.0,300.0,0.0,0.0027,0.002,0.0037,0.0
0,1761629705.886866,0.11659751256150065,0.08313077372874966,0.3256607561351375,0.06371464732149394,0.15296483495874613,0.3099200604569966,0.4999999988574123,-0.03344846151848528,0.009,-0.012,-0.119,0.999,-0.02,-0.012,0.026,-0.001,-0.003,0.009,0.001,0.007,0.002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.25,0.12,50.0,300.0,0.0,0.0085,0.0049,0.0071,0.0
0,1761629705.9252837,0.11692961792968116,0.08702074186261458,0.3430946750476675,0.059053962062696516,0.11991856624330571,0.12203045506739897,0.4999999452604379,0.017107794733519567,0.009,-0.012,-0.119,0.999,-0.02,-0.012,0.026,-0.001,-0.003,0.009,0.001,0.007,0.002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.25,0.12,50.0,300.0,0.0,0.0094,0.0054,0.0107,0.0
