step,timestamp,u0,u1,u2,u3,pose_x,pose_y,pose_z,pose_qw,pose_qx,pose_qy,pose_qz
0,1762388995.8767624,0.0,0.0,-1.0,0.0,0.0,0.0,0.1,1.0,-0.0,0.0,0.0
0,1762388995.8799908,0.0,0.0,-1.0,0.0,0.0,0.0,0.1,1.0,-0.0,0.0,0.0
0,1762388995.8838139,0.0,0.0,-1.0,0.0,0.0,0.0,0.1,1.0,-0.0,0.0,0.0
0,1762388995.8938763,0.0,0.0,-1.0,0.0,0.0,0.0,0.1,1.0,-0.0,0.0,0.0
0,1762388995.9052615,0.0,0.0,-1.0,0.0,0.0,0.0,0.1,1.0,-0.0,0.0,0.0
0,1762388995.9151998,0.0,0.0,-1.0,0.0,0.0,0.0,0.1,1.0,-0.0,0.0,0.0
0,1762388995.9236383,0.0,0.0,-1.0,0.0,0.0,0.0,0.1,1.0,-0.0,0.0,0.0
0,1762388995.9331446,0.0,0.0,-1.0,0.0,0.0,0.0,0.1,1.0,-0.0,0.0,0.0
0,1762388995.9442906,0.0,0.0,-1.0,0.0,0.0,0.0,0.1,1.0,-0.0,0.0,0.0
0,1762388995.953263,0.0,0.0,-1.0,0.0,0.0,0.0,0.1,1.0,-0.0,0.0,0.0
0,1762388995.9632475,0.0,0.0,-1.0,0.0,0.0,0.0,0.1,1.0,-0.0,0.0,0.0
0,1762388995.9733875,0.0,0.0,-1.0,0.0,0.0,0.0,0.1,1.0,-0.0,0.0,0.0
0,1762388995.9833734,0.0,0.0,-1.0,0.0,0.0,0.0,0.1,1.0,-0.0,0.0,0.0
0,1762388995.9955537,0.0,0.0,-1.0,0.0,0.0,0.0,0.1,1.0,-0.0,0.0,0.0
0,1762388996.0031836,0.0,0.0,-1.0,0.0,0.0,0.0,0.1,1.0,-0.0,0.0,0.0
0,1762388996.013539,0.0,0.0,-1.0,0.0,0.0,0.0,0.1,1.0,-0.0,0.0,0.0
0,1762388996.0246367,0.0,0.0,-1.0,0.0,0.0,0.0,0.1,1.0,-0.0,0.0,0.0
0,1762388996.0337555,0.0,0.0,-1.0,0.0,0.0,0.0,0.1,1.0,-0.0,0.0,0.0
0,1762388996.045686,0.0,0.0,-1.0,0.0,0.0,0.0,0.1,1.0,-0.0,0.0,0.0
0,1762388996.0542765,-0.33271411061286926,0.09370772540569305,1.3269685506820679,-0.8481676578521729,0.0,0.0,0.1,1.0,-0.0,0.0,0.0
1,1762388996.0657961,-0.2530098557472229,-0.18098197877407074,0.5167850852012634,-0.7088202238082886,0.0,0.0,0.103,1.0,-0.0,0.0,-0.0
2,1762388996.0737355,-0.33485808968544006,-0.29160264134407043,-1.1401350498199463,0.9663430452346802,0.0,0.0,0.121,1.0,-0.0,-0.0,0.001
3,1762388996.0832655,-0.6668955683708191,-0.2009258270263672,-1.1774101257324219,1.4096640348434448,0.0,0.0,0.149,1.0,-0.001,-0.001,0.009
4,1762388996.0941114,-0.5312311053276062,-0.11274012923240662,-1.1106019020080566,1.2273268699645996,0.001,0.001,0.177,1.0,-0.003,-0.002,0.015
5,1762388996.1037452,-0.14277365803718567,-0.010778751224279404,-0.9145230054855347,0.58542400598526,0.001,0.001,0.205,1.0,-0.005,-0.004,0.018
6,1762388996.1137178,0.05902760475873947,-0.038968902081251144,-0.8424519300460815,0.3804936110973358,0.001,0.001,0.231,1.0,-0.007,-0.006,0.019
7,1762388996.1251001,0.10115521401166916,-0.039525579661130905,-0.8355470299720764,0.3418561518192291,0.002,0.002,0.256,1.0,-0.009,-0.008,0.019
8,1762388996.133719,0.2158876359462738,-0.06483620405197144,-0.8047212958335876,0.28977805376052856,0.003,0.003,0.279,1.0,-0.011,-0.01,0.019
9,1762388996.1446564,0.21157607436180115,-0.06039179489016533,-0.813106119632721,0.2776394784450531,0.003,0.003,0.302,1.0,-0.013,-0.012,0.019
10,1762388996.1547594,0.33355972170829773,-0.06699928641319275,-0.7809804677963257,0.2373048961162567,0.004,0.004,0.324,1.0,-0.015,-0.014,0.018
11,1762388996.163428,0.33743542432785034,-0.06655324995517731,-0.7870213985443115,0.21883034706115723,0.005,0.005,0.344,1.0,-0.016,-0.016,0.017
12,1762388996.1751173,0.3687635064125061,-0.0591011680662632,-0.7747446894645691,0.20906659960746765,0.006,0.006,0.364,1.0,-0.017,-0.017,0.016
13,1762388996.1832995,0.38283589482307434,-0.04564061388373375,-0.7676831483840942,0.2028229832649231,0.007,0.007,0.383,1.0,-0.018,-0.019,0.014
14,1762388996.195359,0.3761880099773407,-0.039241891354322433,-0.7636212706565857,0.20157361030578613,0.008,0.008,0.401,1.0,-0.018,-0.021,0.013
15,1762388996.204145,0.3731248080730438,-0.027611281722784042,-0.7417987585067749,0.19663086533546448,0.009,0.01,0.418,1.0,-0.017,-0.022,0.011
16,1762388996.2142627,0.35222217440605164,0.008023973554372787,-0.6558307409286499,0.17555758357048035,0.01,0.011,0.431,1.0,-0.017,-0.023,0.01
17,1762388996.224255,0.35129550099372864,-0.017162244766950607,-0.70388263463974,0.16759544610977173,0.012,0.012,0.446,1.0,-0.016,-0.024,0.008
18,1762388996.2336793,0.32576286792755127,-0.037686120718717575,-0.7364187836647034,0.18750664591789246,0.013,0.014,0.461,1.0,-0.014,-0.025,0.007
19,1762388996.2444844,0.302187979221344,-0.028881143778562546,-0.700087308883667,0.18403977155685425,0.014,0.015,0.475,1.0,-0.012,-0.026,0.005
20,1762388996.2535107,0.2917432487010956,-0.033872444182634354,-0.6979759931564331,0.16985934972763062,0.016,0.017,0.489,1.0,-0.01,-0.027,0.003
21,1762388996.265673,0.15341126918792725,0.03241213038563728,-0.4170669913291931,0.059644125401973724,0.017,0.019,0.502,1.0,-0.008,-0.028,0.002
22,1762388996.2748334,0.2422589361667633,-0.04167609661817551,-0.6426931619644165,0.11099228262901306,0.019,0.021,0.514,1.0,-0.006,-0.029,-0.0
23,1762388996.2831903,0.21295645833015442,-0.06474281847476959,-0.6618000268936157,0.1785842627286911,0.021,0.023,0.526,1.0,-0.003,-0.029,-0.002
24,1762388996.294572,0.24662157893180847,-0.08066442608833313,-0.7254183292388916,0.2031252384185791,0.022,0.025,0.538,1.0,-0.001,-0.03,-0.003
25,1762388996.3053157,0.15328845381736755,-0.037860769778490067,-0.5220451354980469,0.11248388886451721,0.024,0.027,0.55,1.0,0.001,-0.03,-0.004
26,1762388996.3135717,0.11256187409162521,-0.01970818266272545,-0.4845600426197052,0.05390822887420654,0.026,0.029,0.561,0.999,0.004,-0.031,-0.006
27,1762388996.3253336,0.12050784379243851,-0.04120226576924324,-0.5417778491973877,0.09461556375026703,0.027,0.032,0.571,0.999,0.006,-0.032,-0.007
28,1762388996.333206,0.10700618475675583,-0.0577586404979229,-0.5570624470710754,0.1271473467350006,0.029,0.034,0.582,0.999,0.008,-0.032,-0.008
29,1762388996.3441792,0.11804761737585068,-0.06191060319542885,-0.5662140846252441,0.1307903230190277,0.031,0.036,0.593,0.999,0.01,-0.032,-0.01
30,1762388996.3549337,0.1378972828388214,-0.06640051305294037,-0.5978022217750549,0.14221006631851196,0.033,0.039,0.604,0.999,0.012,-0.033,-0.011
31,1762388996.3632104,0.08430641144514084,-0.05591044947504997,-0.5217103362083435,0.10246606171131134,0.034,0.041,0.614,0.999,0.014,-0.033,-0.012
32,1762388996.3735561,0.049177996814250946,-0.039208319038152695,-0.478920042514801,0.07372795790433884,0.036,0.044,0.625,0.999,0.016,-0.034,-0.013
33,1762388996.3833206,0.11590450257062912,-0.07041890919208527,-0.5845940709114075,0.12730024755001068,0.038,0.046,0.635,0.999,0.017,-0.034,-0.014
34,1762388996.3945618,0.1552862524986267,-0.08967716991901398,-0.661880373954773,0.18122288584709167,0.04,0.049,0.645,0.999,0.019,-0.035,-0.015
35,1762388996.4038324,0.1883346438407898,-0.08528147637844086,-0.6566079258918762,0.17157649993896484,0.042,0.052,0.655,0.999,0.02,-0.035,-0.016
36,1762388996.4138906,0.06810321658849716,-0.03773273527622223,-0.4857650697231293,0.07230456918478012,0.044,0.054,0.665,0.999,0.022,-0.036,-0.017
37,1762388996.4235842,0.11617278307676315,-0.0406363308429718,-0.519050657749176,0.06502087414264679,0.045,0.057,0.674,0.999,0.023,-0.036,-0.019
38,1762388996.4332013,0.20128750801086426,-0.08333523571491241,-0.6687365770339966,0.17538633942604065,0.047,0.06,0.683,0.999,0.024,-0.037,-0.02
39,1762388996.4433587,0.07175462692975998,-0.0552692674100399,-0.5318917036056519,0.10890304297208786,0.049,0.062,0.693,0.999,0.026,-0.037,-0.021
40,1762388996.453217,0.0692891851067543,-0.03263451159000397,-0.4900006651878357,0.07644470036029816,0.051,0.065,0.701,0.999,0.027,-0.038,-0.022
41,1762388996.4638233,0.0784003958106041,-0.04689553752541542,-0.526125967502594,0.09906359761953354,0.053,0.068,0.71,0.999,0.028,-0.038,-0.023
42,1762388996.4732754,-0.027015261352062225,-0.015901081264019012,-0.4450142979621887,0.07172493636608124,0.055,0.071,0.719,0.999,0.029,-0.039,-0.024
43,1762388996.4832203,0.03987886756658554,-0.043629713356494904,-0.575217604637146,0.14597687125205994,0.057,0.074,0.728,0.998,0.03,-0.039,-0.025
44,1762388996.4935713,0.12749215960502625,-0.07460470497608185,-0.6750853657722473,0.20865479111671448,0.059,0.077,0.737,0.998,0.031,-0.039,-0.026
45,1762388996.5031774,0.03079364448785782,-0.022454500198364258,-0.5359183549880981,0.1106303408741951,0.06,0.079,0.746,0.998,0.032,-0.04,-0.027
